tam,threads,total_mean,total_std,sequencial_mean,sequencial_std,paralelo_mean,paralelo_std
1249,1,1.3236233333333334,0.008581621835838056,0.000526475,6.59357455633892e-05,1.3230966666666666,0.008527469339337039
1249,4,0.39985740000000003,0.004621261332147319,0.0005414424,7.611265320102829e-05,0.3993162,0.004610621075299942
1249,8,2.650712,0.006095983923863393,2.313266,0.007948438840426578,0.3374462,0.003936839366801758
1249,16,3.256442,0.006638175201062519,3.1550380000000002,0.006953407078547914,0.10140260000000001,0.0006148888517447707
1249,28,1.583044,0.02580754598949693,1.539206,0.02520398738295191,0.0438392,0.0006973810902225562
2499,1,7.78469,0.023159941709771696,0.00238981,0.00013167448993635787,7.782303333333334,0.023204224471706232
2499,4,4.283128,0.011435668760505271,0.0023673319999999998,0.00013855555048427324,4.2807580000000005,0.011521916941203757
2499,8,16.437559999999998,0.009389515429455552,13.19568,0.028561022390663462,3.2418639999999996,0.03382989550678514
2499,16,19.94114,0.010792729033937019,19.38906,0.010223649055009193,0.5520761999999999,0.005179886697602587
2499,28,6.283642,0.09059513574138502,6.08178,0.09104671960043369,0.2018618,0.001390387068409369
5040,1,59.790666666666674,0.22597923208413104,0.005982496666666667,0.0002339167527846888,59.78466666666666,0.22615183690019716
5040,4,25.012439999999998,0.049724269728171774,0.006166818,0.00014151708861476735,25.00626,0.0496350984687255
5040,8,20.8041,0.18216658584932632,5.094356,0.038436468099969825,15.70974,0.2116739662783313
5040,16,15.004140000000001,0.012871402409994069,7.60891,0.19630171496958454,7.395246,0.18953872765216068
5040,28,9.473624000000001,0.06422572911224933,6.0159579999999995,0.05188224619270094,3.4576660000000006,0.02179906144768612
9999,1,444.4083333333333,0.05688878038182945,0.013114,0.00011293135082872271,444.395,0.057192656871350014
9999,4,175.1102,0.06862361109704432,0.01326578,0.00034496405899745575,175.0966,0.0685660265729521
9999,8,125.085,0.9990530516444092,8.163120000000001,0.050059490608674116,116.922,1.014498891078736
9999,16,97.88094,0.30103871511816666,34.44788,1.30126448771954,63.43306,1.4986791010753437
9999,28,57.94256,0.1760889633111633,16.240000000000002,0.5859972056247366,41.7025,0.7557425586798715
