tam,threads,media_tempo,dp_tempo,media_sequencial,dp_sequencial,media_paralelo,dp_paralelo
5,16,0.0025410714999999995,0.00017157923329363484,1.8895975e-05,1.3224059400935615e-06,0.002522176,0.00017129210380301582
5,8,0.0013580610000000003,0.00013324267025954835,1.5446815e-05,1.2026027818094344e-06,0.001342614,0.00013281837853962357
5,4,0.0007199869,2.653961069975852e-05,1.4728019999999997e-05,1.0355419590980522e-06,0.0007052590000000001,2.6437231806279336e-05
5,2,0.00037152215,1.925223182216053e-05,1.4013330000000002e-05,1.1200617116927088e-06,0.00035750885000000005,1.906892400650308e-05
5,1,0.00011997269999999998,1.163398256967832e-05,1.1380574999999999e-05,6.548039657429019e-07,0.00010859205000000001,1.114161602412089e-05
9999,16,117.4514,2.7977013384111187,1.1769105000000002,0.04954616023945434,116.27449999999999,2.792737621233443
9999,8,121.71365,2.106529205139407,1.0798999999999999,0.02508182483078344,120.63364999999999,2.1108812147137934
9999,4,205.79404999999997,3.4557273813497686,1.1079005,0.04816135898972162,204.68630000000002,3.431901791319671
9999,2,388.64795,5.71932405350032,1.0252298499999999,0.11918910617531728,387.62285,5.792787423530282
9999,1,750.2057,4.281532965754458,0.7445552999999999,0.08792845347158826,749.4611500000001,4.2730594767806815
5040,16,14.333739999999997,0.10075373520567245,0.3206668,0.01760977923768495,14.013079999999999,0.10343038645439363
5040,8,15.503105,0.12272691754245967,0.30276465,0.004852145822373742,15.200335,0.12437099964473851
5040,4,26.926509999999997,0.38871415542989846,0.3077433499999999,0.012666817164606863,26.618765000000003,0.3813436898168867
5040,2,51.722095,0.4601421856625579,0.28418075000000004,0.043674108405776,51.43792,0.48698896518353074
5040,1,100.893615,0.8378589030034266,0.1690947,0.019078955758967304,100.72458999999999,0.8421838634732536
2499,16,14.02549,0.06273312647951453,0.17685295,0.00814750941263325,13.848645000000001,0.0679478861837666
2499,8,23.907049999999998,0.01846782408178615,0.1649511,0.002488368835835616,23.742095,0.01713084245324488
2499,4,47.419595,0.10649888793587894,0.1654115,0.0019384223509148605,47.25418500000001,0.10700909098124153
2499,2,95.049465,0.563654034684209,0.16113935,0.013881456894095506,94.888335,0.5544789125836961
2499,1,186.36275,0.8398158241073177,0.07246608999999998,0.0007658861382325962,186.29014999999998,0.8395195540182177
499,16,0.15385464999999998,0.015681677119878005,0.007931995,0.00043223196134166555,0.14592265,0.015321956740075231
499,8,0.221961,0.0005854883701483292,0.006566318999999999,0.0001423550469369493,0.21539474999999997,0.0005135916742848752
499,4,0.45868829999999994,0.07392080856109677,0.007065345000000001,0.0010211713611519087,0.4516230499999999,0.07295968668523664
499,2,0.8833545999999999,0.08979465575141869,0.0066082955,0.001208728149448071,0.8767454000000001,0.08891797032475317
499,1,1.607643,0.15609756635548566,0.0027945500000000002,0.0003226741730241857,1.604848,0.15583360922538667
