tam,threads,total,sequencial,paralelo
9999,1,174.965,0.0138605,174.951
9999,1,174.858,0.0136306,174.844
9999,1,174.924,0.0148444,174.909
9999,1,175.52,0.0135701,175.507
9999,1,175.001,0.0145053,174.986
5040,1,24.9679,0.00642289,24.9615
5040,1,24.9586,0.00667643,24.9519
5040,1,24.9747,0.00621702,24.9685
5040,1,24.9423,0.00614177,24.9361
5040,1,24.9627,0.00631811,24.9564
2499,1,4.27104,0.00222127,4.26882
2499,1,4.26604,0.00245894,4.26358
2499,1,4.28103,0.00255887,4.27848
2499,1,4.27861,0.00245698,4.27615
2499,1,4.27242,0.00224497,4.27018
1249,1,0.415003,0.000502021,0.414501
1249,1,0.396645,0.000461097,0.396184
1249,1,0.415967,0.00045876,0.415508
1249,1,0.407616,0.000667724,0.406948
1249,1,0.414853,0.000648498,0.414204
