tam,threads,total,sequencial,paralelo
9999,16,98.3086,33.4262,64.8824
9999,16,97.7225,36.4525,61.27
9999,16,97.7232,34.9994,62.7238
9999,16,97.5768,34.0193,63.5575
9999,16,98.0736,33.342,64.7316
5040,16,15.0117,7.76082,7.25093
5040,16,14.9906,7.27891,7.71172
5040,16,14.9923,7.72972,7.2626
5040,16,15.0052,7.58312,7.42208
5040,16,15.0209,7.69198,7.3289
2499,16,19.9472,19.3906,0.556629
2499,16,19.9355,19.3923,0.543202
2499,16,19.9397,19.3851,0.554544
2499,16,19.9557,19.4026,0.55314
2499,16,19.9276,19.3747,0.552866
1249,16,3.26294,3.16104,0.101899
1249,16,3.24556,3.14344,0.102121
1249,16,3.25829,3.15749,0.100805
1249,16,3.25983,3.15905,0.100776
1249,16,3.25559,3.15417,0.101412
