tam,threads,total,sequencial,paralelo
9999,4,175.218,0.0133658,175.204
9999,4,175.072,0.0130905,175.059
9999,4,175.132,0.012885,175.119
9999,4,175.041,0.013799,175.027
9999,4,175.088,0.0131886,175.074
5040,4,25.0159,0.00631263,25.0096
5040,4,24.9819,0.00615421,24.9757
5040,4,25.0976,0.00630978,25.0913
5040,4,24.9816,0.00603636,24.9756
5040,4,24.9852,0.00602111,24.9791
2499,4,4.27437,0.00232886,4.27204
2499,4,4.27321,0.0023904,4.27082
2499,4,4.27699,0.00259357,4.27439
2499,4,4.29442,0.00228808,4.29213
2499,4,4.29665,0.00223575,4.29441
1249,4,0.4055,0.000547786,0.404953
1249,4,0.396031,0.000413066,0.395618
1249,4,0.395931,0.000597587,0.395334
1249,4,0.397649,0.000600164,0.397049
1249,4,0.404176,0.000548609,0.403627
