tam,threads,total,sequencial,paralelo
9999,28,58.1528,15.5096,42.6431
9999,28,57.7495,17.0643,40.6851
9999,28,58.0224,16.0745,41.9479
9999,28,58.0195,16.0202,41.9992
9999,28,57.7686,16.5314,41.2372
5040,28,9.42695,6.00125,3.4257
5040,28,9.56699,6.08016,3.48683
5040,28,9.43487,5.97443,3.46044
5040,28,9.51477,6.06031,3.45446
5040,28,9.42454,5.96364,3.4609
2499,28,6.3616,6.16103,0.200562
2499,28,6.35197,6.14902,0.202954
2499,28,6.33114,6.13043,0.200708
2499,28,6.16382,5.96242,0.201404
2499,28,6.20968,6.006,0.203681
1249,28,1.55788,1.51444,0.0434419
1249,28,1.60205,1.55727,0.0447832
1249,28,1.60165,1.55774,0.0439053
1249,28,1.60178,1.55766,0.0441262
1249,28,1.55186,1.50892,0.0429394
